CAN LOG COMMENTS		Date: 2016-11-21
052	10-23-2014 11:54:45	Neustart servo
053	10-23-2014 11:55:01	Neustart Lung Ident gesund jetzt
054	10-23-2014 12:06:42	zur�ck auf identifkations schritt 4
055	10-23-2014 12:22:43	500ml von gelafundin
056	10-23-2014 12:37:35	LungIdent beendet
057	10-23-2014 12:39:00	heparin auf 3000
058	10-23-2014 12:41:31	bga gemven.
059	10-23-2014 12:49:23	Qg,sprung 3->2
060	10-23-2014 12:50:21	FgO2-Sprung 1->0.8
061	10-23-2014 12:51:31	Qb-Sprung 1.5->2
062	10-23-2014 13:00:50	100mg esmeron
063	10-23-2014 13:03:26	lavage mit 3L
064	10-23-2014 13:12:30	lavage mit 3L
065	10-23-2014 13:24:35	act 310
066	10-23-2014 13:27:16	lavage mit 3L
067	10-23-2014 13:27:27	100mg esmeron
068	10-23-2014 13:35:29	10ug arterenol/min
069	10-23-2014 13:35:58	Stressbeatmung
070	10-23-2014 13:36:48	seit mehreren minuten
071	10-23-2014 13:40:13	bga art
072	10-23-2014 13:47:57	bga art
073	10-23-2014 13:51:08	lung ident start
074	10-23-2014 13:52:26	step 2
075	10-23-2014 13:53:16	step 3
076	10-23-2014 13:54:17	step 4
077	10-23-2014 13:55:33	step 5
078	10-23-2014 13:56:31	s6
079	10-23-2014 13:57:32	s7
080	10-23-2014 13:58:07	bga gemven
081	10-23-2014 13:58:32	s8
082	10-23-2014 13:58:37	arterenol aus
083	10-23-2014 13:59:33	s9
084	10-23-2014 14:00:34	s10
085	10-23-2014 14:01:35	s11
086	10-23-2014 14:02:37	s12
087	10-23-2014 14:03:36	s13
088	10-23-2014 14:04:36	s14
089	10-23-2014 14:05:37	s15
090	10-23-2014 14:06:40	s16
091	10-23-2014 14:07:39	s17
092	10-23-2014 14:08:38	s18
093	10-23-2014 14:09:38	s19
094	10-23-2014 14:10:54	s20
095	10-23-2014 14:11:50	s21
096	10-23-2014 14:12:02	act336
097	10-23-2014 14:12:20	arterenol 10mg/min
098	10-23-2014 14:12:49	s22
099	10-23-2014 14:13:52	s23
100	10-23-2014 14:15:04	s24
101	10-23-2014 14:16:07	s25
102	10-23-2014 14:18:00	s26
103	10-23-2014 14:18:52	Arterenol aus
104	10-23-2014 14:19:07	s27
105	10-23-2014 14:20:28	s28
106	10-23-2014 14:21:27	s29
107	10-23-2014 14:22:30	s30
108	10-23-2014 14:23:33	s31
109	10-23-2014 14:24:52	s32
110	10-23-2014 14:24:59	s
111	10-23-2014 14:25:59	s33
112	10-23-2014 14:27:08	lung ident ende
113	10-23-2014 14:30:53	Lavage 3l
114	10-23-2014 14:37:31	lavage 3l
115	10-23-2014 14:37:48	doch nicht, sp�ter lavage
116	10-23-2014 14:39:10	jetzt lavage 3l
117	10-23-2014 14:44:34	ventilation wieder am schwein
118	10-23-2014 14:45:58	lavage 3 l
119	10-23-2014 14:51:43	beatmung dran
120	10-23-2014 14:52:39	stressbeatmung
121	10-23-2014 14:55:30	Arterenol 10�g/min
122	10-23-2014 14:56:54	Sterofundin 500ml
123	10-23-2014 14:57:25	p1 p2 dspace kalibriert
124	10-23-2014 14:59:08	act 404
125	10-23-2014 15:00:16	offsets p1=475.3 p2=477.8
126	10-23-2014 15:00:26	Heparin 2500IE/h
127	10-23-2014 15:03:26	ecmo runterfahren
128	10-23-2014 15:06:33	bga art
129	10-23-2014 15:09:41	3. lung ident
130	10-23-2014 15:09:44	s1
131	10-23-2014 15:12:42	s2 vor 60 sek
132	10-23-2014 15:12:44	s3
133	10-23-2014 15:13:47	s4
134	10-23-2014 15:14:52	s5
135	10-23-2014 15:15:52	s6
136	10-23-2014 15:16:54	s7
137	10-23-2014 15:17:54	s8
138	10-23-2014 15:18:57	s9
139	10-23-2014 15:19:56	s10
140	10-23-2014 15:20:55	eit start recording
141	10-23-2014 15:21:02	s11
142	10-23-2014 15:22:00	s12
143	10-23-2014 15:23:04	s13
144	10-23-2014 15:24:06	s14
145	10-23-2014 15:25:08	s15
146	10-23-2014 15:26:13	s16
147	10-23-2014 15:27:10	s17
148	10-23-2014 15:28:15	s18
149	10-23-2014 15:29:13	s19
150	10-23-2014 15:30:19	s20
151	10-23-2014 15:31:22	s21
152	10-23-2014 15:32:24	s22
153	10-23-2014 15:33:25	s23
154	10-23-2014 15:34:25	s24
155	10-23-2014 15:35:28	s25
156	10-23-2014 15:36:28	s26
157	10-23-2014 15:37:32	s27
158	10-23-2014 15:38:33	s28
159	10-23-2014 15:39:36	s29o
160	10-23-2014 15:40:21	Arterenol aus
161	10-23-2014 15:40:39	s30
162	10-23-2014 15:41:51	100mg Esmeron
163	10-23-2014 15:41:53	s31
164	10-23-2014 15:42:46	s32
165	10-23-2014 15:43:53	s33
166	10-23-2014 15:45:20	lungident fertig
167	10-23-2014 15:48:37	bga art
168	10-23-2014 15:52:48	bga art
169	10-23-2014 15:54:04	500ml Gelafundin
170	10-23-2014 15:54:39	cardiag output ist fgo2 spr�ngen gefolgt
171	10-23-2014 15:56:30	lungenschaden etabliert, 38 pa02/fio2
172	10-23-2014 15:58:28	urin 0.5l
173	10-23-2014 16:05:23	regler tests
174	10-23-2014 16:05:51	ACT 247 / 1000IE Bolus, Laufrate 3000IE/h
175	10-23-2014 16:18:01	Arterenol 5�g/min
176	10-23-2014 16:21:45	Regler 2
177	10-23-2014 16:24:42	Sprung 0,25 0,25 -> 0,2 0,25
178	10-23-2014 16:29:19	Sprung 0,3 0,25
179	10-23-2014 16:31:53	sprung 0,4 0,25
180	10-23-2014 16:33:27	sprung 0,4 0,2
181	10-23-2014 16:33:28	Arterenol aus/ 50 ng Bolus Propofol / 100mg Esmeron
182	10-23-2014 16:33:53	500ml Sterofundin
183	10-23-2014 16:34:41	format der spr�nge: neuer qo2 qco2
184	10-23-2014 16:35:26	bga art
185	10-23-2014 16:36:41	Diurese insg. 700ml
186	10-23-2014 16:39:49	5�g/min Noradrenalin
187	10-23-2014 16:43:44	Start Pat Oxy Kopplung fail
188	10-23-2014 16:43:57	Start Pat Oxy Kopplung 
189	10-23-2014 16:47:34	ACT 395 / Heparin 2500IE/h
190	10-23-2014 16:52:02	eit messung neugestartet
191	10-23-2014 16:52:13	propofol 50mg/h
192	10-23-2014 16:52:29	korrektur: propofol 500mg/h
193	10-23-2014 16:52:41	fentanil 0.3 ug/h
194	10-23-2014 16:58:02	oesyphagus katheter aufgeblasen
195	10-23-2014 17:00:14	bga gem.ven
196	10-23-2014 17:00:53	bga art
197	10-23-2014 17:05:30	eit sync
198	10-23-2014 17:06:16	bga oxy
199	10-23-2014 17:06:31	bga ecmo ven�s
200	10-23-2014 17:08:32	2. schritt identifikation patient oxy beatm kopplung
201	10-23-2014 17:25:31	bga art
202	10-23-2014 17:26:00	act genommen
203	10-23-2014 17:26:29	bga gem ven
204	10-23-2014 17:28:03	bga nach dem oxy
205	10-23-2014 17:31:17	bga ven
206	10-23-2014 17:33:49	act 392
207	10-23-2014 17:34:31	ident step 3 RR von 10 15
208	10-23-2014 17:39:14	oesophaygos neu aufgepumpt
209	10-23-2014 17:51:06	bga art
210	10-23-2014 17:51:43	bga gem ven
211	10-23-2014 17:52:41	erst jetzt gem ven
212	10-23-2014 17:54:00	bga nach dem oxy
213	10-23-2014 17:54:44	bga ven�s
214	10-23-2014 18:02:12	ident: Kvt 2->1
215	10-23-2014 18:03:04	500ml Sterofundin
216	10-23-2014 18:16:21	bga art
217	10-23-2014 18:17:54	bga gem ven
218	10-23-2014 18:18:15	bga ven�s
219	10-23-2014 18:21:24	bga oxy ausgang
220	10-23-2014 18:23:29	ecmoqb 3->2
221	10-23-2014 18:31:47	Start EIT record
222	10-23-2014 18:32:07	500ml Sterofundin
223	10-23-2014 18:32:55	EIT aufnahme 5
224	10-23-2014 18:32:57	act 250
225	10-23-2014 18:33:42	Heparin 1000IE Bolus / 3000IE/h
226	10-23-2014 18:41:30	luftfilter ventilation getauscht
227	10-23-2014 18:42:03	Bstimmung pPlateau pr�fen
228	10-23-2014 18:44:23	bga art
229	10-23-2014 18:45:01	bga ven�s
230	10-23-2014 18:45:36	bga gem ven
231	10-23-2014 18:48:23	bga nach dem oxy
232	10-23-2014 18:48:50	oxy gasfluss = 6 l/min
233	10-23-2014 19:05:26	bga art
234	10-23-2014 19:05:35	bga ven�s
235	10-23-2014 19:06:24	bzw. ecmo ven�s
236	10-23-2014 19:07:42	bga gemischt ven�s
237	10-23-2014 19:08:41	bga ecmo arteriell
238	10-23-2014 19:10:10	oxy blutfluss 3 l/min
239	10-23-2014 19:10:42	oxy gasfluss 9 l/min
240	10-23-2014 19:13:41	500ml Gelafundin
241	10-23-2014 19:18:16	osyphagus wieder aufgepumpt
242	10-23-2014 19:31:23	bga art
243	10-23-2014 19:31:50	bga ven�s
244	10-23-2014 19:32:40	bga gem ven
245	10-23-2014 19:33:42	bga ecmo arteriell
246	10-23-2014 19:37:04	fiO2 100->60%
247	10-23-2014 19:47:19	ACT 313
248	10-23-2014 19:55:01	spo2sensor gereinigt
249	10-23-2014 19:55:21	oesyphagu8s aufgepumpt
250	10-23-2014 19:57:35	bga art
251	10-23-2014 19:57:49	bga ven�s
252	10-23-2014 19:59:23	bga ven�s
253	10-23-2014 20:00:46	bga ecmo arteriell
254	10-23-2014 20:01:53	fiO2 60->30%
255	10-23-2014 20:19:33	bga ven
256	10-23-2014 20:20:52	bga art
257	10-23-2014 20:24:19	bga gem ven
258	10-23-2014 20:26:31	bga nach oxy
259	10-23-2014 20:26:54	fgO2 100%->80%
260	10-23-2014 20:27:45	oesyphagus aufgepumpt
261	10-23-2014 20:30:32	500ml Sterofundin
262	10-23-2014 20:31:17	Heparin 3000IE/h
263	10-23-2014 20:42:47	bga arteriell
264	10-23-2014 20:43:05	bga gemischt ven�s
265	10-23-2014 20:45:11	bga nach oxy
266	10-23-2014 20:46:30	bga ven
267	10-23-2014 20:48:31	fio2 30->100
268	10-23-2014 20:53:20	Start EIT Recording
269	10-23-2014 21:04:54	bga art
270	10-23-2014 21:06:44	bga oxy ausgang
271	10-23-2014 21:08:14	ECMO ven�s
272	10-23-2014 21:09:34	bga fem ven
273	10-23-2014 21:09:49	=gemischt venoes
274	10-23-2014 21:10:34	qb 3->2 und gq 9->6
275	10-23-2014 21:26:39	bga art
276	10-23-2014 21:29:16	bga ven
277	10-23-2014 21:29:24	bga gem ven
278	10-23-2014 21:33:15	bga nach oxy
279	10-23-2014 21:45:09	Start pulsatile pump test
280	10-23-2014 21:46:40	Pulsatile 1 PER 2000 FLO 2000 AMP 1000
281	10-23-2014 21:47:05	Pulsatile 1 PER 677 FLO 2000 AMP 1000
282	10-23-2014 21:48:29	Pulsatile 1 PER 500 FLO 2000 AMP 1000
283	10-23-2014 21:50:13	Pulsatile 1 PER 500 FLO 2500 AMP 1500
284	10-23-2014 21:51:30	Pulsatile 1 PER 667 FLO 2500 AMP 1500
285	10-23-2014 21:54:46	Rollerpump turned off
286	10-23-2014 21:55:20	Pulsatile 1 PER 2000 FLO 2000 AMP 1000
287	10-23-2014 21:56:28	Pulsatile 1 PER 667 FLO 2000 AMP 1000
288	10-23-2014 21:57:34	Pulsatile 1 PER 500 FLO 2000 AMP 1000
289	10-23-2014 21:58:40	Pulsatile 1 PER 500 FLO 2500 AMP 1500
290	10-23-2014 21:59:35	Pulsatile 1 PER 667 FLO 2500 AMP 1500
291	10-23-2014 22:00:31	Pulsatile 1 PER 2000 FLO 2500 AMP 1500
292	10-23-2014 22:01:54	Pulsatile 1 PER 2000 FLO 3500 AMP 2500
293	10-23-2014 22:02:57	Pulsatile 1 PER 667 FLO 3500 AMP 2500
294	10-23-2014 22:03:59	Diurese insg. 1000ml
295	10-23-2014 22:04:05	synch
296	10-23-2014 22:04:15	Pulsatile 1 PER 500 FLO 3500 AMP 2500
297	10-23-2014 22:06:14	EIT Start
298	10-23-2014 22:06:54	Pulsatile 3 PER 2000 FLO 2000 AMP 1000
299	10-23-2014 22:08:26	Pulsatile 3 PER 667 FLO 2000 AMP 1000
300	10-23-2014 22:10:59	Pulsatile 3 PER 500 FLO 2000 AMP 1000
301	10-23-2014 22:12:31	Pulsatile 3 PER 500 FLO 2500 AMP 1500
302	10-23-2014 22:13:16	Pulsatile 3 PER 667 FLO 2500 AMP 1500
303	10-23-2014 22:14:14	Pulsatile 3 PER 2000 FLO 2500 AMP 1500
304	10-23-2014 22:15:13	Pulsatile 3 PER 2000 FLO 3500 AMP 2500
305	10-23-2014 22:16:24	Pulsatile 3 PER 667 FLO 3500 AMP 2500
306	10-23-2014 22:17:12	Pulsatile 3 PER 500 FLO 3500 AMP 2500
307	10-23-2014 22:18:37	Pulsatile 3 PER 500 FLO 4000 AMP 3000
308	10-23-2014 22:19:10	Pulsatile 3 PER 667 FLO 4000 AMP 3000
309	10-23-2014 22:19:48	Pulsatile 3 PER 2000 FLO 4000 AMP 3000
310	10-23-2014 22:23:50	Pulsatile 2 PER 2000 FLO 4000 AMP 3000
311	10-23-2014 22:24:09	Pulsatile 2 PER 500 FLO 4000 AMP 3000
312	10-23-2014 22:26:50	Start Cannula Occlusion Test
313	10-23-2014 22:27:00	Flow 4500
314	10-23-2014 22:31:06	Max 5600
315	10-23-2014 22:32:02	Max 6000 without occlusion and 10000RPM
316	10-23-2014 22:53:32	rezirkulationstest gestartet
317	10-23-2014 23:28:18	1500 rpm luftblasentext 10ml
318	10-23-2014 23:28:38	1500rpm luftblasentest 10ml
319	10-23-2014 23:30:11	20ml
320	10-23-2014 23:32:02	30ml
321	10-23-2014 23:38:15	40ml
